,Star_name,Distance,Mass,Radius,Gravity
41,2MASS J03284265+2302051 [de],98.0,54,0.98,3.067279628876198e+34
42,2MASS J03341218-4953322,27.0,73,1.04,3.6818657023341117e+34
43,LP 944-20,20.9,73,1.43,1.9474330987552328e+34
44,2MASP J0345432+254023,88.0,74,1.05,3.661549278783569e+34
45,Teide 1,380.0,55,3.78,2.0998624701065266e+33
46,2MASS J03510004-0052452,48.0,102,1.27,3.449883993960905e+34
47,2MASS J03552337+1133437,29.8,20,1.32,6.261723624232007e+33
49,2MASS J04151954−0935066,18.6,30,0.95,1.8133674087859034e+34
51,2MASS J04285096-2253227 [de],85.0,80,1.09,3.6732353313229024e+34
52,2MASS J04351612-1606574,34.0,100,1.26,3.4361385874470435e+34
53,2MASS J04362788-4114465,142.0,39,1.97,5.482061667031e+33
54,2MASS J04390101-2353083 [de],29.5,48,0.97,2.7829764462608613e+34
56,2MASS J04433764+0002040,82.0,22,1.78,3.787864526937267e+33
57,2MASS J04455387-3048204 [de],42.0,64,1.0,3.491336717715792e+34
58,2MASS J04510093-3402150 [de],69.0,1.04,72.0,1.0944101401018834e+29
59,2MASS J05002100+0330501 [de],44.0,64,1.0,3.491336717715792e+34
60,2MASS J05012406-0010452 [de],64.0,21,1.38,6.015515965661072e+33
61,2MASS J05160945-0445499 [de],73.0,47,0.97,2.724997770297093e+34
62,2MASS J0523−1403,40.0,68,1.01,3.636452565996499e+34
64,SDSS J053951.99-005902.0,41.62,61,1.01,3.262111860673331e+34
66,LSR 0602+3910 [de],34.6,28,1.41,7.683012997337455e+33
67,2MASS J06085283-2753583,102.0,38,1.51,9.091623946948607e+33
70,2MASS J06244595-4521548 [de],39.0,56,0.99,3.1169468707288224e+34
71,2MASS J06411840-4322329 [de],65.0,67,1.01,3.5829753223789037e+34
72,DENIS-P J0652197-253450 [de],51.0,75,1.05,3.7110296744428064e+34
74,2MASS J07075327-4900503,60.0,72,1.03,3.702284670968297e+34
75,UGPS J072227.51-054031.2,13.4,26,0.98,1.47683833982928e+34
76,2MASSI J0727182+171001 [de],29.6,41,0.94,2.5312783893013573e+34
77,2MASS J07290002-3954043 [de],25.8,37,0.94,2.284324400101225e+34
78,SDSS J074201.41+205520.5 [de],49.0,43,0.94,2.654755383901424e+34
80,DENIS-P J0751164-253043 [de],55.0,71,1.03,3.6508640505381817e+34
81,2MASS J07522390+1612157,60.0,2.01,68.0,2.3713190698694114e+29
82,DENIS J081730.0-615520,16.1,44,0.94,2.716493881201457e+34
85,2MASS J08251968+2115521 [de],35.0,52,0.98,2.95367667965856e+34
86,SDSSp J083008.12+482847.4 [de],43.0,48,0.99,2.6716687463389904e+34
87,LHS 2021,55.0,88,1.15,3.6299342055646245e+34
88,SDSS J083048.80+012831.1 [de],77.0,46,0.96,2.7228713822246368e+34
89,2MASSI J0835425-081923 [de],23.53,62,1.0,3.3822324452871735e+34
90,2MASSI J0847287-153237 [de],43.0,64,1.0,3.491336717715792e+34
91,2MASS J08533619-0329321,27.6,77,1.07,3.668892032930224e+34
92,2MASSI J0859254-194926 [de],50.0,50,0.98,2.840073730440924e+34
94,2MASSI J0937347+293142,20.0,42,0.94,2.59301688660139e+34
95,2MASS 0939−2448,17.4,32,0.95,1.93425856937163e+34
96,2MASS J09490860-1545485 [de],59.0,49,0.96,2.900449950630592e+34
97,2MASS J10073369-4555147,46.0,44,0.94,2.716493881201457e+34
98,2MASSI J1010148-040649 [de],55.0,51,0.98,2.896875205049741e+34
